,type,campaign_id,name,status,send_time,scheduled_at,send_channel,bounce_rate,click_rate,conversion_rate,delivery_rate,open_rate,spam_complaint_rate,unsubscribe_rate,average_order_value,opens,clicks,delivered,spam_complaints,unsubscribes,bounced,account
45,campaign,01KBHEFWSKFHX288MZDPJHRCQ9,4 DEC: NEW ARRIVAL AND BEST SELLER [INTL],Sent,2025-12-04T18:00:00+00:00,2025-12-04T01:19:44.502734+00:00,email,0.04832,0.00891,0.00012,0.95168,0.18892,0.00037,0.00134,87.6,2180,117,8194,3,11,416,INTL Account
105,campaign,01KBHPJ9F5VARHN6HWJS788TW4,4 DEC: NEW ARRIVAL AND BEST SELLER [TW],Sent,2025-12-04T18:00:00+00:00,2025-12-03T09:06:42.070111+00:00,email,0.00956,0.00386,0,0.99044,0.24131,0,0.00579,0,156,2,518,0,3,5,TW Account
51,campaign,01KE9D916D23WB1J5QM8MJZFW2,7 JAN: LNY'26 [AU],Sent,2026-01-07T18:00:00+00:00,2026-01-07T08:47:57.531042+00:00,email,0.00544,0.02424,0,0.99456,0.29984,0,0.00313,0,1086,79,2558,0,8,14,AU Account
73,campaign,01KE9DTHX273RN6DZK8JV97WN7,7 JAN: LNY'26 [HK],Sent,2026-01-07T18:00:00+00:00,2026-01-07T08:55:30.973587+00:00,email,0.00722,0.01091,0,0.99278,0.27636,0,0.00182,0,200,9,550,0,1,4,HK Account
30,campaign,01KDQDX92X6HFR2N66QP8SDN8W,7 JAN: LNY'26 [INTL],Sent,2026-01-07T18:00:00+00:00,2026-01-07T08:51:42.010924+00:00,email,0.00433,0.00771,0.00012,0.99567,0.19028,0.00025,0.00087,353.42001,2146,79,8046,2,7,35,INTL Account
1,campaign,01KE9D916HQ41M55E3X8JTPXQC,7 JAN: LNY'26 [ISG],Sent,2026-01-07T18:00:00+00:00,2026-01-07T07:22:25.953811+00:00,email,0.00067,0.01758,0.00021,0.99933,0.54713,6.00E-05,0.00065,100.705,35589,1149,47793,3,31,32,SG Account
92,campaign,01KE9DTJ2PW78BNDSAMGBFSXK5,7 JAN: LNY'26 [TW],Sent,2026-01-07T18:00:00+00:00,2026-01-07T08:59:56.467497+00:00,email,0.00592,0.00595,0,0.99408,0.21429,0,0.00198,0,135,5,504,0,1,3,TW Account
23,campaign,01KBY8SY5HVQKTFC4AJM5G5FFR,9 DEC: GOLDEN SURPRISE,Sent,2025-12-09T00:00:00+00:00,2025-12-08T08:29:36.620318+00:00,email,0.0012,0.07797,0.0008,0.9988,0.62698,0,0.0002,123.765,4351,490,4989,0,1,6,SG Account
6,campaign,01KBH5A2P8DFDT960NBN2Z5CGH,Dec BD Month 2,Sent,2025-12-25T16:00:00+00:00,2025-12-15T09:15:57.737222+00:00,email,0.01753,0.02388,0.00184,0.98247,0.29257,0.00026,0.00184,111.71286,1606,148,3811,1,7,68,SG Account
7,campaign,01KBH5A0SSW9N5NSV76D3NJY2Q,Dec BD Month 2,Sent,2025-12-25T16:00:00+00:00,2025-12-15T09:15:34.822579+00:00,email,0.01903,0.02136,0.00025,0.98097,0.25117,0,0.00098,93.05,1444,155,4073,0,4,79,SG Account
3,campaign,01KDYWXJ27YPG9VFMB38EDDEWK,Gold Birthday Month,Sent,2026-01-02T18:00:00+00:00,2026-01-02T09:01:48.879404+00:00,email,0.0319,0.03173,0.00025,0.9681,0.27742,0.00049,0.00295,83.7,1755,194,4066,2,12,134,SG Account
32,campaign,01KDQ104GGY01VD8CACSJM8Y21,Gold Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-30T09:05:52.341002+00:00,email,0.00962,0,0,0.99038,0.2233,0,0,0,36,0,103,0,0,1,INTL Account
53,campaign,01KDQ5VRNWMSZP6WZTZA7WG3NY,Gold Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-31T02:54:40.654772+00:00,email,0.02632,0,0,0.97368,0.35135,0,0.02703,0,16,0,37,0,1,1,AU Account
76,campaign,01KDS6ASJY7AQBTW7H5RCKHSV0,Gold Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-31T03:35:05.801640+00:00,email,0.0625,0,0,0.9375,0.26667,0,0,0,5,0,15,0,0,1,HK Account
94,campaign,01KDS9S964NX46DFNTENYZW615,Gold Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-31T04:18:00.888162+00:00,email,0,0,0,1,0,0,0,0,0,0,1,0,0,0,TW Account
2,campaign,01KDYWXM1WJZVB0R4QZZ0M90DA,Platinum Birthday Month,Sent,2026-01-02T18:00:00+00:00,2026-01-02T09:05:18.960078+00:00,email,0.10961,0.0357,0,0.89039,0.29416,0,0.00187,0,1872,207,3753,0,7,462,SG Account
31,campaign,01KDQ106GT46Q3JZ60AFY87MG8,Platinum Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-30T09:03:24.136713+00:00,email,0,0.02273,0,1,0.34091,0,0,0,20,3,44,0,0,0,INTL Account
54,campaign,01KDQ5VW5J1DYRTXYXNR9ZV6T6,Platinum Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-31T02:59:03.644370+00:00,email,0,0.0625,0,1,0.375,0,0,0,18,2,32,0,0,0,AU Account
75,campaign,01KDS6AVRJG5FP4BS5VNRR1GYJ,Platinum Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-31T03:34:04.177257+00:00,email,0,0,0,1,0,0,0,0,0,0,10,0,0,0,HK Account
93,campaign,01KDS9SBJ0E3HFSKJF1JB5EBHA,Platinum Birthday Month,Sent,2026-01-01T12:00:00+00:00,2025-12-31T04:24:16.213099+00:00,email,0.22222,0,0,0.77778,0.42857,0,0,0,4,0,7,0,0,2,TW Account
